Date,Nume_Sectie,Latitudine,Longitudine,PM2.5,PM10,CO,NO,NO2,NOx,O3,RADIATIE_SOLARA,SO2,TEMPERATURA,UMIDITATE
5/6/2024,B-24,44.4071007,26.113142,9.666521739,13.21,,,,,,,,,
5/7/2024,B-24,44.4071007,26.113142,10.79478261,14.5,,,,,,,,,
5/8/2024,B-24,44.4071007,26.113142,7.788695652,10.61,,,,,,,,,
5/9/2024,B-24,44.4071007,26.113142,7.631304348,10.57,,,,,,,,,
5/10/2024,B-24,44.4071007,26.113142,9.114782609,13.76,,,,,,,,,
5/11/2024,B-24,44.4071007,26.113142,12.55130435,16.54,,,,,,,,,
5/12/2024,B-24,44.4071007,26.113142,5.619565217,7.81,,,,,,,,,
5/13/2024,B-24,44.4071007,26.113142,5.305217391,7.79,,,,,,,,,
5/14/2024,B-24,44.4071007,26.113142,5.943913043,8.99,,,,,,,,,
5/15/2024,B-24,44.4071007,26.113142,7.057826087,9.48,,,,,,,,,
5/16/2024,B-24,44.4071007,26.113142,8.033636364,10.53,,,,,,,,,
6/22/2023,B-26,44.4992561,26.1354294,13.87217391,20.13,,,,,,,,,
6/23/2023,B-26,44.4992561,26.1354294,17.03347826,24.66,,,,,,,,,
6/24/2023,B-26,44.4992561,26.1354294,15.38652174,21.81,,,,,,,,,
6/25/2023,B-26,44.4992561,26.1354294,9.509130435,13.57,,,,,,,,,
6/26/2023,B-26,44.4992561,26.1354294,7.656956522,11.47,,,,,,,,,
6/27/2023,B-26,44.4992561,26.1354294,8.606086957,12.55,,,,,,,,,
6/28/2023,B-26,44.4992561,26.1354294,9.261304348,12.84,,,,,,,,,
6/29/2023,B-26,44.4992561,26.1354294,8.825217391,13.5,,,,,,,,,
6/30/2023,B-26,44.4992561,26.1354294,7.880434783,11.78,,,,,,,,,
7/1/2023,B-26,44.4992561,26.1354294,11.70826087,17.46,,,,,,,,,
7/2/2023,B-26,44.4992561,26.1354294,12.08478261,16.75,,,,,,,,,
7/3/2023,B-26,44.4992561,26.1354294,12.07304348,17.34,,,,,,,,,
7/4/2023,B-26,44.4992561,26.1354294,13.02913043,18,,,,,,,,,
7/5/2023,B-26,44.4992561,26.1354294,10.14347826,17.66,,,,,,,,,
7/6/2023,B-26,44.4992561,26.1354294,11.65652174,19.19,,,,,,,,,
7/7/2023,B-26,44.4992561,26.1354294,10.46695652,14.21,,,,,,,,,
7/8/2023,B-26,44.4992561,26.1354294,7.552173913,10.17,,,,,,,,,
7/9/2023,B-26,44.4992561,26.1354294,8.637826087,11.02,,,,,,,,,
7/10/2023,B-26,44.4992561,26.1354294,11.30173913,15.78,,,,,,,,,
7/11/2023,B-26,44.4992561,26.1354294,14.28304348,21.47,,,,,,,,,
7/12/2023,B-26,44.4992561,26.1354294,13.47695652,19.5,,,,,,,,,
7/13/2023,B-26,44.4992561,26.1354294,16.47434783,25.18,,,,,,,,,
7/14/2023,B-26,44.4992561,26.1354294,10.13217391,15.13,,,,,,,,,
